filename,hardware,model_size,arrival_rate,run_id,throughput_rps,avg_e2e_latency,avg_ttft,avg_tbt,total_requests,successful_requests,hourly_cost,cost_per_1k_req
ar.6.5_13b_4x3090_0.jsonl,4x3090,13b,6.5,0,1.1748052126886088,647.1270382741113,594.6259044176699,0.08329592962159378,1880,1879,0.234,0.05532832106800394
ar.26_13b_4x3090_0.jsonl,4x3090,13b,26.0,0,1.1475191865978818,3197.852886089073,3144.027788362992,0.08283902878339015,7866,7866,0.234,0.05664393306809045
ar.1_13b_4xa100.jsonl,4xa100,13b,1.0,0,0.977361103063327,6.233366798852825,0.05877166823161713,0.009619890759811359,298,298,0.58,0.16484297421510144
ar.2_13b_4xa100.jsonl,4xa100,13b,2.0,0,1.8981388013316984,8.332045950662314,0.06885290700541673,0.012056210033204838,595,595,0.58,0.08487846673703661
ar.3_13b_4xa100.jsonl,4xa100,13b,3.0,0,2.846847822840555,10.902951575795772,0.08025183535246591,0.016055001463621432,897,897,0.58,0.05659280760232422
ar.4_13b_4xa100.jsonl,4xa100,13b,4.0,0,3.688712741630304,14.935547857007005,0.0992104929360689,0.02206506269253916,1188,1187,0.58,0.043676784394955266
ar.6.5_13b_4xa100.jsonl,4xa100,13b,6.5,0,5.052145045893799,52.20321798327118,9.875566367684897,0.06260140530998698,1880,1879,0.58,0.031889644823649
ar.13_13b_4xa100.jsonl,4xa100,13b,13.0,0,5.211399125923488,226.62204553544868,180.02924349646332,0.06946374735895472,3813,3813,0.58,0.03091513568970048
ar.26_13b_4xa100.jsonl,4xa100,13b,26.0,0,5.137163025150931,620.0056271540384,571.4546949808982,0.07117364438646999,7866,7866,0.58,0.03136188404423425
ar.1_13b_4xgh200.jsonl,4xgh200,13b,1.0,0,0.9936197549367203,2.780056381997365,0.035215457007538954,0.004229821912243207,298,298,5.96,1.6661862320370142
ar.2_13b_4xgh200.jsonl,4xgh200,13b,2.0,0,1.9524405502575295,3.308873724065498,0.03706917913939741,0.004767157350400156,595,595,5.96,0.8479415956287046
ar.3_13b_4xgh200.jsonl,4xgh200,13b,3.0,0,2.9296200502867102,3.631995911738614,0.03794627407029839,0.0053163789518038875,897,897,5.96,0.565109306714887
ar.4_13b_4xgh200.jsonl,4xgh200,13b,4.0,0,3.8682831445149057,3.9327372091475827,0.038761146424828405,0.0057637913822583785,1188,1187,5.96,0.4279819996897272
ar.6.5_13b_4xgh200.jsonl,4xgh200,13b,6.5,0,6.123126664606438,4.947886689831604,0.042095522456317314,0.007307626619769057,1880,1879,5.96,0.2703774797155802
ar.13_13b_4xgh200.jsonl,4xgh200,13b,13.0,0,10.289099632820589,44.0076822855463,16.82186533395697,0.04082575442435088,3813,3813,5.96,0.1609038316894704
ar.26_13b_4xgh200.jsonl,4xgh200,13b,26.0,0,10.165979364730847,241.37220292167373,211.39614118013554,0.044279806349171405,7866,7866,5.96,0.162852539451263
ar.1_13b_4xh100_0.jsonl,4xh100,13b,1.0,0,0.9889827494792531,3.7369808833889864,0.04425573078977982,0.005754836724453289,298,298,1.152,0.3235647943995943
ar.2_13b_4xh100_0.jsonl,4xh100,13b,2.0,0,1.9390439243117938,4.504869601919371,0.04860038765150459,0.006495270032622246,595,595,1.152,0.16502978400222393
ar.3_13b_4xh100_0.jsonl,4xh100,13b,3.0,0,2.909667729948438,4.968872750248582,0.05187505154393887,0.007286791289049875,897,897,1.152,0.1099781932852074
ar.4_13b_4xh100_0.jsonl,4xh100,13b,4.0,0,3.838465642686089,5.464829726773138,0.054485657363784794,0.007993501120054652,1188,1187,1.152,0.08336664432824512
ar.6.5_13b_4xh100_0.jsonl,4xh100,13b,6.5,0,6.042066814299502,9.205764390768095,0.07684138253580991,0.013596380945734465,1880,1879,1.152,0.05296200949692738
